name,date,location
NC_045512,2019-12,China
LC534418,2020-02-14,Japan
LC534419,2020-03-09,Japan
MT253698,2020-01-23,China
MT253699,2020-01-24,China
MT253708,2020-01-21,China
MT253710,2020-01-21,China
MT253700,2020-01-25,China
MT253701,2020-01-21,China
MT251972,2020-03-14,USA
MT251973,2020-03-14,USA
MT253696,2020-01-23,China
MT253697,2020-01-23,China
MT253703,2020-01-25,China
MT253704,2020-01-25,China
MT253705,2020-01-22,China
MT253706,2020-01-22,China
MT253707,2020-01-25,China
MT253709,2020-01-21,China
MT251974,2020-03-12,USA
MT251975,2020-03-14,USA
MT251976,2020-03-14,USA
MT251977,2020-03-14,USA
MT251978,2020-03-14,USA
MT251979,2020-03-14,USA
MT251980,2020-03-13,USA
MT253702,2020-01-21,China
MT246453,2020-03-13,USA
MT246454,2020-03-12,USA
MT246455,2020-03-12,USA
MT246457,2020-03-12,USA
MT246462,2020-03-13,USA
MT246463,2020-03-13,USA
MT246464,2020-03-13,USA
MT246467,2020-03-14,USA
MT246479,2020-03-13,USA
MT233526,2020-01-19,USA
MT246449,2020-03-13,USA
MT246451,2020-03-13,USA
MT246461,2020-03-13,USA
MT246450,2020-03-13,USA
MT246452,2020-03-13,USA
MT246456,2020-03-13,USA
MT246458,2020-03-12,USA
MT246459,2020-03-12,USA
MT246460,2020-03-12,USA
MT246468,2020-03-14,USA
MT246477,2020-03-14,USA
MT246478,2020-03-14,USA
MT246465,2020-03-13,USA
MT246469,2020-03-14,USA
MT246470,2020-03-13,USA
MT246471,2020-03-14,USA
MT246472,2020-03-12,USA
MT246473,2020-03-14,USA
MT246474,2020-03-14,USA
MT246480,2020-03-13,USA
MT246483,2020-03-15,USA
MT246485,2020-03-15,USA
MT246667,2020-01-19,USA
MT246466,2020-03-13,USA
MT246475,2020-03-13,USA
MT246476,2020-03-13,USA
MT246481,2020-03-13,USA
MT246482,2020-03-15,USA
MT246484,2020-03-15,USA
MT246486,2020-03-14,USA
MT246487,2020-03-15,USA
MT246488,2020-03-14,USA
MT246489,2020-03-14,USA
MT246490,2020-03-15,USA
MT240479,2020-03-04,Pakistan
MT233520,2020-02-26,Spain
MT233521,2020-02-27,Spain
MT233522,2020-03-02,Spain
MT232869,2020-02-26,Iran
MT232870,2020-02-26,Iran
MT232872,2020-02-26,Iran
MT233519,2020-02-27,Spain
MT233523,2020-03-04,Spain
MT232871,2020-02-26,Iran
MT226610,2020-01-20,China
MT198653,2020-03-08,Spain
MT198651,2020-03-04,Spain
MT198652,2020-03-05,Spain
MT192772,2020-01-22,Viet Nam
MT192758,2020-03-06,Italy
MT192765,2020-03-11,USA
MT192759,2020-01-25,Taiwan
MT192773,2020-01-22,Viet Nam
MT188340,2020-03-07,USA
MT186677,2020-02-09,Iran
MT186678,2020-02-22,Iran
MT186679,2020-03-05,Iran
MT188339,2020-03-09,USA
MT187977,2020-03,Italy
MT186676,2020-03-03,Iran
MT186681,2020-02-28,Iran
MT188341,2020-03-05,USA
MT186680,2020-02-17,Iran
MT186682,2020-02-28,Iran
MT184908,2020-02-21,USA
MT184909,2020-02-21,USA
MT184910,2020-02-18,USA
MT184907,2020-02-18,USA
MT184911,2020-02-17,USA
MT184913,2020-02-24,USA
MT184912,2020-02-17,USA
MT163719,2020-03-01,USA
MT163716,2020-02-27,USA
MT163717,2020-02-28,USA
MT163718,2020-02-29,USA
MT163712,2020-02-29,Iran
MT163714,2020-02-29,India
MT163737,2020-02-29,Iran
MT163720,2020-03-01,USA
MT163715,2020-02-29,India
MT163721,2020-03-01,USA
MT163738,2020-02-29,Iran
MT159705,2020-02-17,USA
MT159722,2020-02-21,USA
MT159710,2020-02-17,USA
MT159715,2020-02-24,USA
MT159716,2020-02-24,USA
MT159711,2020-02-20,USA
MT159712,2020-02-25,USA
MT159717,2020-02-17,USA
MT159719,2020-02-18,USA
MT159720,2020-02-21,USA
MT159709,2020-02-20,USA
MT121215,2020-02-02,China
MT159718,2020-02-18,USA
MT159721,2020-02-21,USA
MT159708,2020-02-17,USA
MT159714,2020-02-18,USA
MT159707,2020-02-17,USA
MT066156,2020-01-30,Italy
MT159706,2020-02-17,USA
MT159778,2020-02-27,Nigeria
MT161607,2020-03-05,Italy
MT159713,2020-02-18,USA
LC529905,2020-01,Japan
MT012098,2020-01-27,India
MT050493,2020-01-31,India
MT152824,2020-02-24,USA
MT152900,2020-02-26,Iran
MT135041,2020-01-26,China
MT135042,2020-01-28,China
MT135043,2020-01-28,China
MT135044,2020-01-28,China
MT126808,2020-02-28,Brazil
MT127113,2020-02-10,Viet Nam
MT127114,2020-02-10,Viet Nam
MT127115,2020-02-10,Viet Nam
MT127116,2020-02-10,Viet Nam
LC528233,2020-02-10,Unknown
LC528232,2020-02-10,Unknown
MT123292,2020-01-27,China
MT123290,2020-02-05,China
MT123291,2020-01-29,China
MT123293,2020-01-29,China
MT118835,2020-02-23,USA
MT111896,2020-02,Australia
MT111895,2020-02,Australia
MT106053,2020-02-10,USA
MT106052,2020-02-06,USA
MT106054,2020-02-11,USA
MT093631,2020-01-08,China
MT093571,2020-02-07,Sweden
MT081060,2020-01-23,China
MT081063,2020-01-26,China
MT081064,2020-01-28,China
MT081066,2020-01-30,China
MT081068,2020-02-06,China
MT081061,2020-01-23,China
MT081067,2020-01-31,China
MT081059,2020-01-22,China
MT081062,2020-01-25,China
MT081065,2020-01-30,China
MT072688,2020-01-13,Nepal
MT072668,2020-02-03,Belgium
MT072667,2020-02-03,Belgium
MT066159,2020-01-24,Malaysia
MT066175,2020-01-31,Taiwan
MT066176,2020-02-05,Taiwan
MT066157,2020-01-24,Malaysia
MT066158,2020-01-24,Malaysia
LC523807,2020-02-06,Philippines
LC523808,2020-01-26,Philippines
LC523809,2020-01-23,Philippines
MT049951,2020-01-17,China
MT044257,2020-01-28,USA
MT044258,2020-01-27,USA
MT050416,2020-02,Australia
MT050415,2020-01,Australia
MT050417,2020-02,Australia
MT042774,2020-01,China
MT042775,2020-01,China
MT042776,2020-01,China
MT042778,2020-01,China
MT042777,2020-01,China
MT042773,2020-01,China
MT050414,2020-01,Australia
MT039890,2020-01,South Korea
MT039887,2020-01-31,USA
MT039873,2020-01-20,China
MT039888,2020-01-29,USA
LC522350,2020-01-26,Philippines
MT027063,2020-01-29,USA
MT027064,2020-01-29,USA
MT027062,2020-01-29,USA
MT020881,2020-01-25,USA
MT019533,2020-01-01,China
MT019531,2019-12-30,China
MT019532,2019-12-30,China
MT020781,2020-01-29,Finland
MT019530,2019-12-30,China
MT019529,2019-12-23,China
MT020880,2020-01-25,USA
LR757996,2020-01-01,China
LR757998,2019-12-26,China
LR757997,2019-12-31,China
LR757995,2019-12-26,China
MT008023,2020-01,Italy
MT007544,2020-01-25,Australia
MT008022,2020-01,Italy
MN996527,2019-12-30,China
MN996528,2019-12-30,China
MN996529,2019-12-30,China
MN996530,2019-12-30,China
MN996531,2019-12-30,China
MN988669,2020-01-02,China
MN994467,2020-01-23,USA
MN994468,2020-01-22,USA
MN997409,2020-01-22,USA
MN988668,2020-01-02,China
MN988713,2020-01-21,USA
MN938387,2020-01,China
MN938389,2020-01,China
MN975263,2020-01,China
MN975268,2020-01,China
MN975267,2020-01,China
MN975262,2020-01-11,China
MN938388,2020-01,China
MN938390,2020-01,China
MN975264,2020-01,China
MN975265,2020-01,China
MN975266,2020-01,China
MN938386,2020-01,China
MN938384,2020-01-10,China
MN938385,2020-01,China
MN985325,2020-01-19,USA
MN970003,2020-01-08,Thailand
MN970004,2020-01-13,Thailand
MN908947,2019-12,China
