Spreaders,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
NewYork,1040,3015,34872,42317,806,0,300
Wisconsin,0,905,7635,10872,2438,7698,2800
California,1790,4379,26336,35370,2056,1804,100
Illinois,1891,3936,5791,10928,2900,6100,2200
Massachusetts,2300,800,19800,15502,100,0,0
Connecticut,0,2010,17910,23810,50,0,0
Washington,0,1030,19694,12340,200,0,0
Georgia,0,1200,6512,2609,0,0,0
,,,,,,,
,,,,,,,
Receivers,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
NewYork,695,1995,18871,15043,500,2000,1100
Wisconsin,1200,2100,8700,23701,2802,2002,1000
California,1929,2779,18763,16860,1738,600,0
Illinois,1443,2020,16086,16784,1500,3900,1000
Massachusetts,1300,2300,12400,14098,500,1000,600
Connecticut,299,1010,14546,20632,450,600,0
Washington,300,2235,13210,13638,2200,0,0
Georgia,200,1200,7191,6189,0,0,0
